model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7452915016160782,0.7432960160320955,0.7211820557955939,0.7201448812187067,0.72066309533328,0.7654673689849121,0.766391061452514,0.765928936730911
china,0.5730587252991929,0.5624681674484298,0.53125,0.7754739336492891,0.6305394990366089,0.6643046944198405,0.3937007874015748,0.4943968358602505
hindi,0.8228423101881895,0.8199292460401538,0.8438040345821326,0.8418631397354802,0.842832469775475,0.7958426132145509,0.7982129560685034,0.7970260223048327
spanish,0.7330789648307896,0.7297502930057862,0.6739755571531273,0.7275902211874272,0.6997574174286247,0.7837338262476895,0.7371776296725587,0.7597431685829475
korean,0.6827731092436975,0.6590061964465975,0.6052631578947368,0.5368043087971275,0.5689819219790676,0.7237687366167024,0.7761194029850746,0.7490304709141274
portuguese,0.7671826625386997,0.6759271118853054,0.5335195530726257,0.4775,0.503957783641161,0.8337311058074781,0.8625514403292182,0.8478964401294499
germany,0.7710906244564272,0.7700486109456326,0.7568275346053124,0.7523242841204909,0.7545691906005222,0.783485045513654,0.7875816993464052,0.7855280312907431
turkey,0.8134463961235615,0.7190489029543325,0.7324478178368121,0.44831591173054586,0.5561959654178674,0.8288288288288288,0.9422367882015568,0.8819018404907976
english,0.7582292849035187,0.7542094872733385,0.8037062457103638,0.7683727034120735,0.7856424018785643,0.7023608768971332,0.7444146559428061,0.7227765726681128
france,0.8938758389261745,0.8937762399467288,0.9261926192619262,0.8575,0.8905235828645608,0.8656716417910447,0.9307432432432432,0.897028897028897
bengali,0.6633709981167608,0.5811627198250363,0.49159663865546216,0.33097595473833097,0.3956043956043956,0.7129854368932039,0.8292166549047283,0.766721044045677
italy,0.721351025331725,0.7213508451270096,0.7115689381933439,0.7318663406682967,0.7215749296906389,0.7314285714285714,0.7111111111111111,0.7211267605633803
