model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7819388077474544,0.7794812336759298,0.771781931118629,0.7412378821774795,0.7562016030430648,0.7898607145946881,0.8160893854748603,0.8027608643087948
china,0.6445866963540217,0.6436724193833352,0.5984666986104457,0.7399289099526066,0.6617218543046358,0.7084993359893759,0.5601049868766405,0.6256229844620346
hindi,0.8578844905905256,0.8562160089471162,0.8883582089552239,0.855664174813111,0.8717047451669596,0.8216062544420754,0.8607594936708861,0.8407272727272728
spanish,0.7685799601857995,0.7645253354397931,0.7221804511278196,0.7454404346138921,0.7336261218254726,0.8052256532066508,0.7858591712547088,0.7954245490541135
korean,0.7230392156862745,0.7027007286878446,0.6623115577889447,0.5915619389587073,0.6249407302038881,0.7555077915099409,0.8071182548794489,0.7804607271718013
portuguese,0.8092879256965945,0.7258403037130776,0.6419753086419753,0.52,0.574585635359116,0.8512780790085205,0.9045267489711935,0.8770949720670391
germany,0.8036180205253087,0.8020231360652645,0.8066037735849056,0.7631089624395686,0.7842537741257405,0.8012480499219968,0.8392156862745098,0.8197924980047885
turkey,0.8210175651120533,0.7331189512729379,0.7472527472527473,0.4738675958188153,0.579957356076759,0.8356313497822931,0.9434657927079066,0.8862805464691168
english,0.7916509017530584,0.7868909588861374,0.8214442976662263,0.8160542432195975,0.8187403993855606,0.7516976675524063,0.7584152517128389,0.7550415183867141
france,0.9064597315436241,0.906371942719844,0.9396939693969397,0.87,0.9035049762007789,0.8774548311076198,0.9434121621621622,0.9092389092389093
bengali,0.7151600753295668,0.6218695479072056,0.6408839779005525,0.32814710042432815,0.43405051449953225,0.7304199772985244,0.908256880733945,0.8096885813148789
italy,0.773220747889023,0.7730143195031867,0.779746835443038,0.7530562347188264,0.7661691542288557,0.7672811059907834,0.7928571428571428,0.7798594847775175
