model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7431043281732241,0.7345616675960875,0.7735609951310611,0.617769255353148,0.6869428732194154,0.7256461232604374,0.848268156424581,0.7821804619727597
china,0.6340105761202338,0.6313365943058891,0.616635397123202,0.5841232227488151,0.5999391542439915,0.6479438314944834,0.6782152230971129,0.6627340343677867
hindi,0.8027255029201817,0.801481229105724,0.8563327032136105,0.7814836112708453,0.8171978352375225,0.745819397993311,0.8302308265078183,0.7857646229739254
spanish,0.7221300597213006,0.7052886543356023,0.7243781094527363,0.5649980597594102,0.6348375844778722,0.721005475360876,0.8394668212112432,0.7757397241933325
korean,0.6890756302521008,0.6344541303445412,0.677115987460815,0.3877917414721723,0.4931506849315068,0.6925157799819658,0.8817451205510907,0.7757575757575758
portuguese,0.7820433436532508,0.6442998373169816,0.6142857142857143,0.3225,0.42295081967213116,0.80711743772242,0.9333333333333333,0.8656488549618321
germany,0.7637850060880154,0.7577007971179116,0.8096789204281061,0.6470806991446635,0.7193054981397271,0.7363888888888889,0.8663398692810458,0.7960960960960961
turkey,0.8152634766807996,0.7008631546430948,0.8145363408521303,0.37746806039488967,0.5158730158730159,0.8153634171546675,0.9696845555100368,0.8858532934131736
english,0.7410770588977172,0.7393576471629939,0.8147963009247688,0.7130358705161854,0.7605272366732766,0.6659877800407332,0.7792672028596962,0.7181880576527111
france,0.8582214765100671,0.8571127625211106,0.9425051334702259,0.765,0.8445262189512419,0.8,0.9527027027027027,0.8696993060909792
bengali,0.6741996233521658,0.5724916232315711,0.5196850393700787,0.28005657708628007,0.3639705882352941,0.7079747561675273,0.8708539167254764,0.7810126582278482
italy,0.725774024929634,0.7237091590996758,0.7607655502392344,0.6479217603911981,0.6998239436619719,0.7004160887656034,0.8015873015873016,0.7475943745373798
