model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7712702617317553,0.7627477092539781,0.8211443468715697,0.6375306274635134,0.7177811094452774,0.7439129943928047,0.8834860335195531,0.8077143090626787
china,0.6551628165878096,0.6526100906101819,0.6405760801502818,0.606042654028436,0.6228310502283105,0.6668336673346693,0.6986876640419948,0.6823891309920533
hindi,0.8384166125892277,0.8373290712882159,0.8890282131661442,0.8154111558366878,0.850629874025195,0.7841291190316073,0.8682055100521221,0.8240282685512368
spanish,0.7556403450564034,0.7402567435514636,0.7782258064516129,0.5991462941404734,0.6770445077833809,0.7445598417408507,0.8725007244277021,0.8034689793195464
korean,0.7125350140056023,0.6646724809956961,0.7209653092006033,0.42908438061041293,0.537985368598762,0.7099863201094391,0.8938002296211252,0.7913595933926303
portuguese,0.8142414860681114,0.6960812356979404,0.7403846153846154,0.385,0.506578947368421,0.8251599147121536,0.9555555555555556,0.88558352402746
germany,0.7961384588624109,0.7893641498510068,0.8738294726466239,0.6593529193008554,0.751589656634167,0.7537634408602151,0.9163398692810457,0.8271386430678466
turkey,0.8219261053906723,0.716767468118441,0.8181818181818182,0.4076655052264808,0.5441860465116279,0.8224852071005917,0.9680458828349038,0.889348889725254
english,0.7733636019674612,0.7722758412080462,0.8553137003841229,0.7305336832895888,0.7880146278164445,0.6938369781312127,0.8316949657432231,0.7565370545996477
france,0.8716442953020134,0.870581890434289,0.9617768595041323,0.7758333333333334,0.8588560885608856,0.8100282485875706,0.96875,0.8823076923076923
bengali,0.7109227871939736,0.5753903136574616,0.7142857142857143,0.21923620933521923,0.3354978354978355,0.7105401153644467,0.9562455892731122,0.8152827918170878
italy,0.7571371129875352,0.7540417020340155,0.817533129459735,0.6536267318663407,0.7264492753623188,0.7177954847277557,0.8579365079365079,0.7816341287057122
