model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5305353714549563,0.42161304291138524,0.4397963700752545,0.10583786087141792,0.17061652069380046,0.5417269525811471,0.8868826815642458,0.67260956512897
china,0.5148900640133593,0.41282510340443546,0.43243243243243246,0.10426540284360189,0.16801909307875895,0.5254237288135594,0.878740157480315,0.657631113730112
hindi,0.5058403634003894,0.48617111005170704,0.6459459459459459,0.2748706152961472,0.38563937071399756,0.46157130657557643,0.8049143708116158,0.5867028493894165
spanish,0.5325149303251493,0.418838431175808,0.3464968152866242,0.10554908808692277,0.1618084473527662,0.5603662025557886,0.8513474355259345,0.6758684149988498
korean,0.5990896358543417,0.4251546268520284,0.4093567251461988,0.06283662477558348,0.10894941634241245,0.6111731843575419,0.9420206659012629,0.7413598373616445
portuguese,0.7306501547987616,0.4435996435996436,0.18181818181818182,0.025,0.04395604395604396,0.75,0.9629629629629629,0.8432432432432433
germany,0.5180031309793007,0.4042644556978858,0.4251824817518248,0.08664931201190033,0.14396045721346926,0.5277831186310324,0.8970588235294118,0.6645684541823024
turkey,0.6556632344033919,0.46685810906280745,0.21008403361344538,0.11614401858304298,0.14958863126402394,0.7307147912243454,0.8459647685374846,0.784127586861591
english,0.42338251986379116,0.346540202552163,0.5,0.06977252843394575,0.12245681381957774,0.4166780962830887,0.9049746797736073,0.5706235912847483
france,0.5171979865771812,0.43379009378628464,0.5910780669144982,0.1325,0.21647379169503064,0.5078014184397163,0.9070945945945946,0.6511063958775386
bengali,0.6252354048964218,0.42666154833231373,0.23353293413173654,0.055162659123055166,0.08924485125858124,0.658661216147164,0.9096683133380381,0.7640782454060462
italy,0.5066344993968637,0.41193833690006004,0.5,0.10676446617766912,0.17595701813297515,0.5074157303370787,0.8960317460317461,0.6479196556671449
