model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5421273907020827,0.3610440404419481,0.42857142857142855,0.01070629594119527,0.02089071350621005,0.5434365781710915,0.9880223463687151,0.7011973673776861
china,0.5307542443640412,0.349925697184477,0.6,0.0035545023696682463,0.007067137809187279,0.530560982416969,0.9979002624671915,0.6927842565597667
hindi,0.44484101232965606,0.369239979498184,0.5507246376811594,0.08740655549166187,0.15086848635235733,0.4344262295081967,0.9076693968726731,0.5876114726440106
spanish,0.5718314532183145,0.36451564349851845,0.25,0.0007760962359332557,0.0015473887814313346,0.5722591362126246,0.9982613735149232,0.7274838982156056
korean,0.6099439775910365,0.38054380645829555,0.5,0.0017953321364452424,0.0035778175313059034,0.6100981767180925,0.9988518943742825,0.7575097953852852
portuguese,0.7523219814241486,0.4293286219081272,0.0,0.0,0.0,0.7523219814241486,1.0,0.8586572438162544
germany,0.5327883110106105,0.3486047605661276,1.0,0.0011156563778356265,0.002228826151560178,0.5325443786982249,1.0,0.694980694980695
turkey,0.7204724409448819,0.4340728075503356,0.16304347826086957,0.017421602787456445,0.03147953830010493,0.7364485981308411,0.968455551003687,0.8366660768005663
english,0.4209862529953336,0.2984287322054922,0.27906976744186046,0.0026246719160104987,0.005200433369447454,0.42176008115647984,0.9907655644921061,0.591657031041537
france,0.4974832214765101,0.3336885710206302,1.0,0.0016666666666666668,0.0033277870216306157,0.49706129303106633,1.0,0.6640493550196298
bengali,0.658662900188324,0.40489417442447795,0.2,0.008486562942008486,0.016282225237449117,0.6652340019102196,0.9830628087508821,0.7935061236115067
italy,0.5070365902694008,0.33717311494910535,1.0,0.0008149959250203749,0.0016286644951140066,0.5068382944489139,1.0,0.6727175654030967
