model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5282509903035311,0.37853334351102125,0.35353535353535354,0.041014168530947054,0.07350133638793432,0.5380154473839521,0.9370726256983241,0.6835653506341082
china,0.5290843306429168,0.35181247313148684,0.4230769230769231,0.006516587677725118,0.012835472578763127,0.5298570227081582,0.9921259842519685,0.6907894736842105
hindi,0.47566515249837765,0.4100275529084547,0.6952380952380952,0.12593444508338125,0.21324245374878287,0.4506685941452837,0.9285182427401341,0.6068126520681265
spanish,0.5635368281353683,0.368331551467937,0.23,0.00892510671323244,0.017183414269704895,0.5691632928475033,0.9776876267748479,0.7194796886661691
korean,0.6088935574229691,0.3809673408885354,0.3333333333333333,0.0026929982046678637,0.005342831700801425,0.6097646645591851,0.9965556831228473,0.7565918500762694
portuguese,0.7442724458204334,0.43138699136673603,0.11764705882352941,0.005,0.009592326139088728,0.7509386733416771,0.9876543209876543,0.8531816565943833
germany,0.5322664811271526,0.34737200590305367,0.0,0.0,0.0,0.5322664811271526,1.0,0.6947440118061073
turkey,0.6674742580254391,0.4628555681979804,0.20595533498759305,0.09639953542392567,0.13132911392405064,0.7316315971024491,0.8689061859893487,0.7943820224719101
english,0.4194728212889393,0.3078633260375241,0.41040462427745666,0.01552930883639545,0.02992623814541623,0.4196750902527076,0.9696157283288651,0.585800413929632
france,0.49706375838926176,0.3327642346451315,1.0,0.0008333333333333334,0.0016652789342214821,0.49685270667226183,1.0,0.6638631903560415
bengali,0.4670433145009416,0.4566326323068788,0.3107747105966162,0.49363507779349364,0.3814207650273224,0.6423576423576424,0.4537755822159492,0.5318444995864351
italy,0.5086449537595497,0.34291813832492135,0.7272727272727273,0.006519967400162999,0.012924071082390954,0.5076736672051696,0.9976190476190476,0.6729122055674518
