model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5375586283992321,0.3653678163433452,0.3645058448459086,0.018269947800149143,0.03479584073040832,0.541608635097493,0.9732737430167597,0.6959397919562821
china,0.5304759254105205,0.351906779819587,0.5263157894736842,0.005924170616113744,0.011716461628588167,0.5304980414101846,0.9952755905511811,0.6920970980105858
hindi,0.4464633354964309,0.3547395342444235,0.5911602209944752,0.06152961472110408,0.11145833333333334,0.43743536711478803,0.9448994787788533,0.5980207351555137
spanish,0.5613802256138023,0.37039621426300556,0.24427480916030533,0.01241753977493209,0.023633677991137372,0.5684246226895031,0.971312662996233,0.7171587505348738
korean,0.5952380952380952,0.44498381115366126,0.41796875,0.09605026929982047,0.1562043795620438,0.6126923076923076,0.9144661308840414,0.7337632427452787
portuguese,0.7529411764705882,0.4319741473463743,1.0,0.0025,0.004987531172069825,0.7527881040892194,1.0,0.8589607635206787
germany,0.5310488780657505,0.35018609828847264,0.37037037037037035,0.003718854592785422,0.007363770250368188,0.5318070604683677,0.9944444444444445,0.6930084263265771
turkey,0.6956390066626287,0.4538686178235615,0.20491803278688525,0.05807200929152149,0.09049773755656108,0.7347939829954219,0.9205243752560426,0.817239498090562
english,0.4207340143776012,0.29972888405392323,0.32786885245901637,0.004374453193350831,0.008633714655730628,0.42145399084900864,0.9877867143282693,0.5908240534521159
france,0.49706375838926176,0.3327642346451315,1.0,0.0008333333333333334,0.0016652789342214821,0.49685270667226183,1.0,0.6638631903560415
bengali,0.6624293785310734,0.4037573776268267,0.2222222222222222,0.005657708628005658,0.011034482758620689,0.6661918328584995,0.9901199717713479,0.7964802724950326
italy,0.5066344993968637,0.3369952450840339,0.5,0.0008149959250203749,0.0016273393002441008,0.5066398390342053,0.9992063492063492,0.6723631508678237
