model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.5320177890106685,0.41391168905813547,0.43812451960030746,0.09108341323106424,0.1508135996824977,0.5418568436879128,0.9019888268156424,0.6770097784337733
china,0.5054272195936543,0.45219866173601264,0.44331210191082804,0.20616113744075829,0.2814395471087748,0.5227920227920227,0.7706036745406825,0.6229577763632506
hindi,0.5168721609344581,0.4985580436991487,0.6657824933687002,0.288671650373778,0.4027276373846771,0.4686426116838488,0.8123603871928519,0.5943884500136203
spanish,0.5436297279362973,0.3919096136386563,0.30227272727272725,0.051610399689561506,0.08816705336426914,0.5626342161775233,0.9110402781802376,0.6956521739130435
korean,0.5962885154061625,0.4217765661833458,0.3872832369942196,0.06014362657091562,0.10411810411810411,0.6097651882221394,0.939150401836969,0.7394350282485875
portuguese,0.7380804953560371,0.444574531139096,0.21951219512195122,0.0225,0.04081632653061224,0.7515883100381194,0.9736625514403292,0.8483327357475797
germany,0.5268742389980866,0.3844990210100254,0.44745762711864406,0.04908888062476757,0.08847184986595175,0.5311697836450312,0.9467320261437908,0.6805261921540992
turkey,0.6738340399757723,0.4602966183684852,0.2032967032967033,0.0859465737514518,0.12081632653061225,0.7321307011572499,0.8811962310528472,0.7997769102063581
english,0.4156892420229537,0.33011047096707663,0.4416826003824092,0.0505249343832021,0.09067713444553484,0.4138536321901161,0.9130175752159666,0.5695438074886184
france,0.5075503355704698,0.4059304729520341,0.5656565656565656,0.09333333333333334,0.16022889842632332,0.5022872827081427,0.9273648648648649,0.6516320474777448
bengali,0.6068738229755178,0.45433685501440346,0.282312925170068,0.1173974540311174,0.16583416583416583,0.659016393442623,0.8510938602681722,0.7428395441946412
italy,0.5074386811419381,0.3499936953180856,0.5277777777777778,0.015484922575387123,0.030087094220110848,0.5071399428804569,0.9865079365079366,0.6699002964160604
