model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7395805487375149,0.731858554753273,0.7617593555093555,0.6245339299030574,0.6863548557045015,0.7263268237760608,0.8361117318435755,0.7773622538020444
china,0.6476482048427498,0.6217003954036571,0.7188796680497925,0.41054502369668244,0.5226244343891403,0.6215290985165463,0.857742782152231,0.7207763564181738
hindi,0.7511356262167423,0.7502933181558947,0.9175257731958762,0.6141460609545716,0.7357905614881157,0.6501564129301356,0.9285182427401341,0.7647960748236737
spanish,0.7289316522893166,0.7255818841370301,0.6692998204667864,0.7233216918897943,0.6952629615814995,0.7801418439716312,0.7331208345407129,0.7559008066925605
korean,0.6890756302521008,0.6346864425383286,0.6765625,0.388689407540395,0.49372862029646525,0.6926895306859205,0.881171067738232,0.775644264780192
portuguese,0.7504643962848297,0.6597189581678795,0.49606299212598426,0.4725,0.4839948783610755,0.8290113452188006,0.8419753086419753,0.8354430379746836
germany,0.7632631762045573,0.7578443286937635,0.8018181818181818,0.6560059501673484,0.721619963182655,0.7393632009016624,0.857516339869281,0.7940686942048721
turkey,0.8046638400969109,0.7157169943918646,0.6818181818181818,0.47038327526132406,0.5567010309278351,0.8316100443131462,0.9225727160999591,0.8747329578558943
english,0.7499054105183504,0.7492988856073195,0.8454763811048839,0.6929133858267716,0.7616300036062027,0.6642754662840746,0.8275245755138516,0.7369677676084362
france,0.8640939597315436,0.8631690829471537,0.9433198380566802,0.7766666666666666,0.8519195612431444,0.8080229226361032,0.9527027027027027,0.8744186046511628
bengali,0.6384180790960452,0.6042620087336245,0.46153846153846156,0.5176803394625177,0.488,0.743801652892562,0.6986591390261115,0.7205240174672489
italy,0.72778447929232,0.7271060795718755,0.7420774647887324,0.687041564792176,0.7134997884045705,0.7157660991857883,0.7674603174603175,0.7407123707391804
