model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7597025444117719,0.7530516341973907,0.7844066060683651,0.6527111963353575,0.7125247121758344,0.744584165785247,0.8494748603351955,0.793578556218947
china,0.6576676871694962,0.64096341025901,0.7026548672566372,0.4703791469194313,0.5635202271114266,0.6370280146163215,0.8236220472440945,0.7184065934065934
hindi,0.7890979883192732,0.7890012268325812,0.9263899765074393,0.6802760207015526,0.7844827586206896,0.69196675900277,0.9300074460163812,0.7935196950444727
spanish,0.7428666224286662,0.7358272869032039,0.7081475476286988,0.6779200620876988,0.6927042030134813,0.7669194046616119,0.7913648217907853,0.7789503707929264
korean,0.717436974789916,0.677321433796553,0.708843537414966,0.46768402154398564,0.5635478637101136,0.7204148986327205,0.8771526980482205,0.7910950038829925
portuguese,0.7845201238390093,0.7000601992981017,0.5726256983240223,0.5125,0.5408970976253298,0.8448687350835322,0.8740740740740741,0.8592233009708737
germany,0.789702556966429,0.7853353515798907,0.8303571428571429,0.6917069542580885,0.7547169811320755,0.7637503562268453,0.8758169934640523,0.8159537220277059
turkey,0.8043609933373713,0.7087348468090569,0.6958105646630237,0.4436701509872242,0.5418439716312057,0.8260079912822376,0.9315854158131913,0.875625721986908
english,0.7728591247319965,0.7714888511009681,0.8489045580458323,0.7373140857392826,0.7891841273557298,0.6965639211723093,0.8212689901697945,0.7537935748462065
france,0.8687080536912751,0.8679967612688226,0.9395441030723488,0.79,0.8583069262109552,0.8167272727272727,0.9484797297297297,0.8776865963266901
bengali,0.6567796610169492,0.622858203427654,0.4858974358974359,0.536067892503536,0.5097511768661735,0.7559523809523809,0.7170077628793226,0.7359652299891344
italy,0.756735022114998,0.7557986728130524,0.7811934900542495,0.7041564792176039,0.7406772396056579,0.7371469949312093,0.807936507936508,0.7709201060204468
