model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7638095700989088,0.7612846179532982,0.7495452791710302,0.724352828379674,0.7367337540970285,0.7750586803442581,0.7969162011173184,0.7858354818095679
china,0.6326189813526301,0.6322805620321283,0.5913604766633564,0.705568720379147,0.6434359805510534,0.6852438252058265,0.5679790026246719,0.6211251435132032
hindi,0.8643737832576249,0.8620264064293915,0.8785100286532951,0.8815411155836688,0.8800229621125144,0.8459237097980553,0.842144452717796,0.8440298507462687
spanish,0.7315859323158593,0.728808850371103,0.6687785990848293,0.737291424136593,0.7013658176448874,0.7875745214935677,0.7273254129237902,0.7562518830973185
korean,0.711484593837535,0.6772631748711847,0.6785714285714286,0.49461400359066426,0.5721703011422637,0.724559686888454,0.8501722158438576,0.7823560486001057
portuguese,0.7808049535603715,0.6791650018182389,0.5751633986928104,0.44,0.4985835694050991,0.8288770053475936,0.8930041152263375,0.8597464342313788
germany,0.784658201426335,0.7831017724476678,0.7819665759813448,0.7482335440684269,0.7647282402128468,0.7868387909319899,0.8166666666666667,0.8014753046824887
turkey,0.8267716535433071,0.736598155239883,0.7838899803536346,0.4634146341463415,0.5824817518248175,0.8345864661654135,0.9549365014338386,0.8907145586549484
english,0.7721024088787993,0.7677780578682559,0.8114440189231809,0.7878390201224846,0.7994673177227832,0.7220630372492837,0.7506702412868632,0.7360887980137286
france,0.915268456375839,0.9152491306123023,0.9346689895470384,0.8941666666666667,0.91396933560477,0.8972491909385113,0.9366554054054054,0.9165289256198347
bengali,0.6657250470809792,0.5872793453570158,0.4969450101832994,0.3451202263083451,0.4073455759599332,0.7164727495407226,0.8256880733944955,0.7672131147540984
italy,0.7362283876156012,0.7362273214657573,0.7256916996047431,0.7481662591687042,0.7367576243980738,0.7471358428805237,0.7246031746031746,0.7356970185334408
