model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7874796471360179,0.7870140153811536,0.7451958339445504,0.811760945989134,0.777055449330784,0.8292588655908784,0.7671061452513966,0.7969725814315233
china,0.6557194544948511,0.6533988010649125,0.6025466120964075,0.784952606635071,0.6817597118600464,0.7395982783357246,0.5412073490813648,0.6250378902697787
hindi,0.8831927319922128,0.8806943111083584,0.8854108440469536,0.9108683151236343,0.8979591836734694,0.880123743232792,0.8473566641846612,0.8634294385432474
spanish,0.7536496350364964,0.7535030465914043,0.6652542372881356,0.8529297632906481,0.7474919231423227,0.8608663729809104,0.6795131845841785,0.7595141700404858
korean,0.7223389355742297,0.7026449512119132,0.6593843098311817,0.5960502692998204,0.6261197548326262,0.756625202812331,0.8030998851894374,0.7791701475912002
portuguese,0.8210526315789474,0.7632494530594937,0.6330935251798561,0.66,0.6462668298653611,0.8864774624373957,0.8740740740740741,0.8802320762536262
germany,0.8086623760654027,0.8083688501003746,0.7802469135802469,0.8226106359241354,0.8008689355539464,0.8363074811256005,0.7964052287581699,0.8158687646468028
turkey,0.7983040581465778,0.7309634088156494,0.623574144486692,0.5714285714285714,0.5963636363636363,0.8531635495423796,0.8783285538713642,0.8655631812676625
english,0.8117038718627821,0.8033097798479603,0.8082082082082082,0.8829833770778652,0.8439427197658618,0.8176550783912747,0.7146261543044384,0.7626768399300589
france,0.9295302013422819,0.9295039550528572,0.9195121951219513,0.9425,0.9308641975308642,0.9402079722703639,0.9163851351351351,0.9281437125748503
bengali,0.7217514124293786,0.6590250322223143,0.6146245059288538,0.43988684582743987,0.5127782357790602,0.7552533992583437,0.8623853211009175,0.8052718286655683
italy,0.7736228387615601,0.7730945689264985,0.7405797101449275,0.8329258353708231,0.7840429612581511,0.8148148148148148,0.7158730158730159,0.7621461765948458
