model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7667014994289048,0.7647676216342445,0.7460308946577987,0.7408650260999254,0.743438986583997,0.7838258164852255,0.7883798882681564,0.786096256684492
china,0.6287225160033398,0.6266608819194974,0.5814917127071824,0.7482227488151659,0.6544041450777202,0.7009148486981,0.5228346456692914,0.5989176187612748
hindi,0.8552887735236859,0.853195774993859,0.8778492109877265,0.8637147786083956,0.8707246376811594,0.8271334792122538,0.8443782576321668,0.8356669123065585
spanish,0.7299270072992701,0.7284803685253629,0.6575888409166389,0.7683352735739232,0.7086614173228346,0.8021213125621478,0.7012460156476383,0.7482993197278912
korean,0.7188375350140056,0.6895655115384454,0.6797687861271676,0.5278276481149012,0.5942395149065185,0.735811150175791,0.8409873708381171,0.7848915081703723
portuguese,0.7814241486068112,0.687921680300027,0.5709969788519638,0.4725,0.5170998632010944,0.8356697819314641,0.8831275720164609,0.8587434973989596
germany,0.7888328404939989,0.7881641581280197,0.7694556083302886,0.7831907772406099,0.7762624401032068,0.8064409030544488,0.7937908496732026,0.8000658761528326
turkey,0.82404603270745,0.7359874108157167,0.7621722846441947,0.4727061556329849,0.5835125448028674,0.8359826589595376,0.9479721425645228,0.8884622768285659
english,0.7854710556186152,0.7794319383770087,0.8074534161490683,0.8245844269466317,0.815929012011687,0.7539877300613497,0.7322013702710753,0.7429348647423304
france,0.924496644295302,0.9244913300168078,0.9381443298969072,0.91,0.9238578680203046,0.9114754098360656,0.9391891891891891,0.9251247920133111
bengali,0.6718455743879472,0.47768360375973196,0.5409836065573771,0.09335219236209336,0.15922798552472858,0.6798201798201798,0.9604798870853917,0.7961392219947353
italy,0.7334137515078407,0.733214303916564,0.7123493975903614,0.7709861450692747,0.7405088062622309,0.7575496117342536,0.6968253968253968,0.7259198015708971
