model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7939682616831515,0.792557849161307,0.7712042988093983,0.7797485884734207,0.7754529081470495,0.8134614517074931,0.8058994413407822,0.8096627901755646
china,0.6626774283328695,0.6625059055630713,0.6198388721047331,0.7292654028436019,0.6701143168209036,0.7156191661481021,0.6036745406824147,0.6548974943052391
hindi,0.8682673588578845,0.8662985016959353,0.8881770529994176,0.8769407705577918,0.8825231481481481,0.8432234432234432,0.857036485480268,0.8500738552437223
spanish,0.769907100199071,0.7684694639681878,0.6999327956989247,0.8083042297244858,0.7502251035476319,0.8381389252948886,0.7412344248044045,0.7867138243887437
korean,0.7216386554621849,0.7050662559150225,0.6497652582159624,0.6211849192100538,0.6351537402478201,0.7643774427694026,0.7858783008036739,0.7749787715822247
portuguese,0.8068111455108359,0.7339879632562559,0.6189189189189189,0.5725,0.5948051948051948,0.8626506024096385,0.8839506172839506,0.8731707317073171
germany,0.8203165767959645,0.8180475303087545,0.8424317617866005,0.7575306805503905,0.797728607793225,0.8042629840888622,0.8754901960784314,0.8383664528242841
turkey,0.8128407026044822,0.7339596370463078,0.6889580093312597,0.5145180023228804,0.589095744680851,0.8427980443775855,0.9180663662433429,0.8788235294117647
english,0.8262075923823937,0.8184699426170166,0.8197837404885863,0.8954505686789151,0.855948149696843,0.8371379897785349,0.7319034852546917,0.78099173553719
france,0.9249161073825504,0.9249049953234558,0.9208573784006595,0.9308333333333333,0.9258184832159138,0.9291204099060631,0.918918918918919,0.9239915074309979
bengali,0.7128060263653484,0.618032011679204,0.6350974930362117,0.32248939179632247,0.4277673545966229,0.7286118980169972,0.9075511644318984,0.8082966687617851
italy,0.779654201849618,0.7796413405234245,0.7735697018533441,0.78239608801956,0.7779578606158833,0.7857142857142857,0.776984126984127,0.7813248204309656
