model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7570293324260614,0.7537773509998427,0.748668253428539,0.7036859486523916,0.7254805052169138,0.7633068118963536,0.8017877094972067,0.7820741967827717
china,0.6084052323963262,0.6072364628936482,0.566872917658258,0.705568720379147,0.6286619160728424,0.6668900804289544,0.5223097112860893,0.5858110097144539
hindi,0.836145360155743,0.834481571942786,0.8734866828087167,0.8297872340425532,0.8510763786493659,0.793006993006993,0.8443782576321668,0.8178867652362063
spanish,0.7354014598540146,0.731939940490514,0.6775126536514823,0.7272021730694607,0.7014785700917088,0.7844880441446965,0.7415241958852506,0.7624013108893193
korean,0.7027310924369747,0.6675561563788999,0.6629766297662977,0.4838420107719928,0.5594187856772185,0.7185511502692119,0.8427095292766934,0.7756935270805813
portuguese,0.7789473684210526,0.6806513094816742,0.567398119122257,0.4525,0.5034770514603616,0.8310185185185185,0.8864197530864197,0.8578255675029869
germany,0.7808314489476431,0.7790165578793613,0.7814100039385585,0.7378207512086278,0.7589900535577658,0.780373831775701,0.8186274509803921,0.7990430622009569
turkey,0.822228952150212,0.7326991650994727,0.7584905660377359,0.46689895470383275,0.578001437814522,0.8344155844155844,0.9475624743957395,0.8873968923844235
english,0.7670576365241518,0.7641658994807206,0.8217237308146399,0.7611548556430446,0.7902804587260134,0.7043854899837575,0.7750968126303247,0.7380513402354276
france,0.9005872483221476,0.9004013328757148,0.9454209065679926,0.8516666666666667,0.8960982025427444,0.8633921719109747,0.950168918918919,0.9047044632086851
bengali,0.6817325800376648,0.583378598587724,0.5402597402597402,0.2942008486562942,0.38095238095238093,0.7130534790109259,0.8750882145377559,0.7858048162230672
italy,0.7273823884197829,0.7273283846037415,0.7240816326530612,0.7229013854930725,0.7234910277324633,0.7305863708399366,0.7317460317460317,0.7311657414750198
