model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7855840968188778,0.7824099038108303,0.7858661304222925,0.7285607755406414,0.7561292462478233,0.785377358490566,0.8334301675977653,0.8086905613738372
china,0.6495964375173949,0.6494781637270847,0.60882800608828,0.7109004739336493,0.6559169171904892,0.6991368680641183,0.5952755905511811,0.6430394102636802
hindi,0.8526930564568462,0.8515707178393745,0.8988206083178151,0.8326624496837263,0.8644776119402985,0.8021753908905507,0.8786299329858526,0.8386638237384506
spanish,0.7689117451891174,0.765888612603941,0.7140274765003616,0.7663950329840901,0.7392850458543889,0.8154506437768241,0.77079107505071,0.7924921793534933
korean,0.7212885154061625,0.6983228836464701,0.6666666666666666,0.5709156193895871,0.6150870406189555,0.7486855941114616,0.817451205510907,0.7815587266739846
portuguese,0.8235294117647058,0.7424875055178252,0.686084142394822,0.53,0.5980253878702397,0.8560490045941807,0.920164609053498,0.8869496231654106
germany,0.8070968864150287,0.8043597821213619,0.8319327731092437,0.7363332093715136,0.7812191753797593,0.7895517957850995,0.869281045751634,0.8275003888629647
turkey,0.8182919442761962,0.7231069048852932,0.7584158415841584,0.4448315911730546,0.5607613469985359,0.8291026099392206,0.9500204834084391,0.8854524627720504
english,0.8023710430066843,0.7985214656103081,0.8374129800134741,0.8156167979002624,0.8263711911357341,0.7574798619102416,0.7843312481382186,0.7706717400848822
france,0.9093959731543624,0.9092164972444652,0.9564007421150278,0.8591666666666666,0.9051799824407375,0.8705972434915773,0.9603040540540541,0.9132530120481928
bengali,0.7156308851224106,0.5923628728450357,0.7068273092369478,0.24893917963224893,0.3682008368200837,0.7168,0.9484827099505999,0.8165249088699879
italy,0.7828709288299156,0.7822668193685871,0.804251550044287,0.7400162999185004,0.7707979626485568,0.7650957290132547,0.8246031746031746,0.7937356760886173
