model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7481591290189312,0.7446674130283428,0.7394522575869726,0.6917545541706616,0.7148085972975204,0.7546425845840753,0.795486033519553,0.7745262287591653
china,0.5969941553019761,0.5931556271235003,0.5532386867790594,0.7387440758293838,0.632673769660071,0.6706497386109037,0.4713910761154856,0.5536374845869297
hindi,0.8218689162881246,0.8199153802868828,0.8575721153846154,0.8205865439907993,0.838671760211578,0.7799717912552891,0.8235294117647058,0.8011590003621876
spanish,0.7352355673523556,0.7305608515326183,0.6846066992849078,0.705859526581296,0.6950706916316393,0.7751409077425097,0.7571718342509418,0.7660510114335972
korean,0.6880252100840336,0.6550522180487667,0.629802095459837,0.4856373429084381,0.5484034465281298,0.7130696044066099,0.817451205510907,0.7617009895694036
portuguese,0.788235294117647,0.6996731002623028,0.5857988165680473,0.495,0.5365853658536586,0.8418167580266249,0.8847736625514403,0.862760834670947
germany,0.7698730213950252,0.7680763800174814,0.7674236491777604,0.7288955001859427,0.7476635514018691,0.7718309859154929,0.8058823529411765,0.7884892086330936
turkey,0.8155663234403392,0.7197109239002945,0.7470588235294118,0.4425087108013937,0.5557986870897156,0.828080229226361,0.9471528062269562,0.8836231607108733
english,0.7525539160045402,0.7487864910167263,0.8015249537892791,0.7587489063867017,0.7795505617977528,0.6936961955012496,0.7441167709264224,0.7180224202357
france,0.8745805369127517,0.8741770635654574,0.9294566253574833,0.8125,0.8670520231213873,0.8314606741573034,0.9375,0.8813021040095276
bengali,0.6850282485875706,0.4949627998906726,0.6666666666666666,0.1074964639321075,0.1851400730816078,0.6860696517412935,0.9731827805222301,0.8047855266997374
italy,0.7285886610373945,0.7285633832331408,0.7233009708737864,0.7286063569682152,0.7259439707673568,0.7338129496402878,0.7285714285714285,0.7311827956989247
