model,accuracy,f1_score,prec_yes,rec_yes,f1_yes,prec_no,rec_no,f1_no
all,0.7789010668546016,0.7725368040501258,0.8122902143041569,0.6702886971343347,0.7344889978404249,0.7587403047901158,0.8700335195530726,0.8105846102598268
china,0.6546061786807682,0.6515223238342203,0.6426292278238672,0.5965639810426541,0.6187403993855607,0.6638696939782823,0.7060367454068242,0.6843042482828797
hindi,0.8442569759896171,0.8431406479227714,0.8927011852776044,0.8228867165037378,0.8563734290843806,0.7917511832319134,0.8719285182427401,0.8299078667611623
spanish,0.7649303251493033,0.753482594480831,0.7695167286245354,0.6426076833527358,0.7003594840346796,0.7623839009287926,0.8562735439003187,0.8066057049269824
korean,0.7188375350140056,0.6794615034658866,0.7098515519568152,0.47217235188509876,0.5671159029649596,0.7219858156028369,0.8765786452353617,0.7918071039668135
portuguese,0.8278637770897833,0.7259035409035409,0.7652173913043478,0.44,0.5587301587301587,0.8382671480144405,0.9555555555555556,0.8930769230769231
germany,0.7987476082797008,0.7955225678723242,0.8276304533789564,0.7195983637039792,0.7698428486174657,0.7789504544121958,0.8683006535947713,0.8212022871271828
turkey,0.8270745003028468,0.7310536019313956,0.8098290598290598,0.44018583042973286,0.5703536493604213,0.8299223712067749,0.9635395329782875,0.8917535545023697
english,0.7834531466767563,0.7818581434831959,0.8537794299876085,0.7534995625546806,0.8005112118043453,0.7105803800719055,0.8242478403336312,0.7632050751620466
france,0.888003355704698,0.8875155134288906,0.9542356377799416,0.8166666666666667,0.880107768298159,0.8378776713338246,0.9603040540540541,0.8949232585596222
bengali,0.71939736346516,0.5995409239474973,0.7176470588235294,0.25884016973125884,0.3804573804573805,0.7196361690743713,0.9491884262526464,0.8186244674376141
italy,0.7704061117812626,0.7691424578785049,0.8048327137546468,0.7057864710676447,0.752062527138515,0.744153082919915,0.8333333333333334,0.7862223886184949
