Language,Original Words Total,Original Words Min,Original Words Max,Original Words Avg,Translated Words Total,Translated Words Min,Translated Words Max,Translated Words Avg
english,322916,1,1052,20.4,408551,1,1017,25.8
spanish,308400,1,556,25.6,305968,1,570,25.4
german,226179,1,69,19.7,236281,1,149,20.5
hindi,154295,2,122,25.0,144399,1,209,23.4
italian,121097,2,198,24.3,125443,1,226,25.2
turkish,105416,1,207,16.0,137758,1,397,20.9
french,95250,1,212,20.0,89904,1,216,18.9
korean,65837,1,80,11.5,96069,1,417,16.8
bengali,50818,1,537,12.0,61075,1,901,14.4
portuguese,46098,1,221,14.3,49117,1,237,15.2
chinese,9481,1,8,1.3,104648,1,122,14.6
Total,1505787,1,1052,18.3,1759213,1,1017,21.4
